EN	HFO	DO	LO	R	D
1811.40	105204.10	9175.90	163.73	16.75	92.80
1818.29	106832.70	8654.40	130.46	16.65	92.76
1821.01	109495.40	7339.40	642.09	16.48	92.83
1816.42	101620.70	13570.50	292.80	16.66	92.60
1808.48	102216.70	14716.10	634.10	16.35	91.82
1811.18	96849.30	18819.90	471.48	16.56	92.06
1821.84	96543.60	21002.80	394.83	16.39	94.17
1743.37	107186.80	4398.80	426.44	16.52	89.32
1767.47	110013.40	2797.60	546.51	16.56	87.37
1821.79	106822.80	8232.10	94.83	16.74	91.54
1821.51	106743.90	9172.70	0.00	16.61	91.34
1819.40	105029.00	11351.50	183.41	16.53	91.77
1797.55	104652.90	9505.80	1141.96	16.65	91.91
1810.57	103852.60	11726.60	731.78	16.56	91.69
1827.76	103493.50	12033.00	785.14	16.72	92.41
1785.99	101327.50	12939.20	277.54	16.52	89.65
1741.58	105342.10	9377.50	640.97	16.05	87.51
1797.54	97820.80	13016.30	36.69	17.14	89.96
1884.71	100813.00	16064.10	389.12	17.03	93.63
1887.56	109959.50	12171.00	154.36	16.33	94.85
1892.70	107087.60	12421.80	249.50	16.72	94.35
1911.14	109785.50	13647.10	308.29	16.34	93.50
1941.93	110325.60	14650.40	367.19	16.40	95.21
1887.99	107639.10	12578.30	1028.68	16.58	94.55
1917.68	108169.60	13371.70	806.25	16.67	95.21
1880.56	108787.40	12773.30	1171.10	16.34	94.14
1906.03	109004.60	13414.40	1331.94	16.44	94.83
1894.15	110062.40	11120.90	298.53	16.51	94.15
1889.47	107846.10	12712.30	211.80	16.55	93.87
1908.49	109236.40	13099.50	190.26	16.48	95.62
1883.65	105773.80	15149.80	358.31	16.46	94.44
1813.57	111174.90	5765.40	492.78	16.39	90.95
